source_id,source_url,source_title,original_question,self_contained_question,question_type,clinical_domain,why_open,difficulty
PMID:23075596,https://pubmed.ncbi.nlm.nih.gov/23075596/,Obesity.,It is therefore still an open question as to whether hypocaloric high-protein feeding should be standard practice in obese critically ill patients.,Should hypocaloric high-protein feeding (providing less total energy than estimated expenditure while maintaining high protein intake) be the standard nutritional practice for obese critically ill patients in the intensive care unit?,treatment,Critical Care,"While nitrogen balance can be achieved without energy balance in obese patients and some positive outcomes have been reported, the evidence that hypocaloric feeding improves clinical outcomes is limited and the risk of overestimating metabolic rate may be overstated.",3
PMID:23075596,https://pubmed.ncbi.nlm.nih.gov/23075596/,Obesity.,Energy expenditure is difficult to predict in obese patients and is likely to lead to overfeeding.,How can resting energy expenditure be accurately predicted or measured in obese critically ill patients to avoid both overfeeding and underfeeding during nutritional support?,methodology,Critical Care,"Standard predictive equations for energy expenditure are unreliable in obese critically ill patients, and indirect calorimetry is not always available, making accurate caloric targeting a persistent clinical challenge.",3
PMID:22411453,https://pubmed.ncbi.nlm.nih.gov/22411453/,'Coinfection-helminthes and tuberculosis'.,Whether helminthes affect tuberculosis (TB) disease is still an open question and clinical trials are warranted.,Do helminth co-infections (parasitic worm infections) increase the incidence and transmission of tuberculosis (TB) and diminish the protective immune response to TB vaccines such as bacille Calmette-Guerin (BCG) at the population level?,epidemiology,Infectious Disease,"While experimental evidence shows helminth-induced Th2 and T-regulatory responses impair host resistance to Mycobacterium tuberculosis, clinical trials to determine the population-level impact on TB incidence, transmission, and vaccine efficacy have not been conducted.",4
PMID:22411453,https://pubmed.ncbi.nlm.nih.gov/22411453/,'Coinfection-helminthes and tuberculosis'.,Mass deworming of infected individuals could contribute toward overall improvement of global public health [in the context of TB].,Would mass deworming programs in tuberculosis-endemic regions reduce TB incidence and improve TB vaccine efficacy by removing the immunosuppressive effects of helminth co-infections?,prevention,Infectious Disease,"Despite experimental evidence of helminth-induced immune suppression affecting TB resistance, no large-scale clinical trials have tested whether deworming programs could serve as a public health strategy to reduce TB burden.",4
PMID:22411453,https://pubmed.ncbi.nlm.nih.gov/22411453/,'Coinfection-helminthes and tuberculosis'.,"Despite studies showing an association between helminthes and diminished Th1 immunity, maternal antihelminthic treatment had no effect on an infant's response to bacille Calmette-Guerin vaccination.","Why does maternal antihelminthic treatment during pregnancy not improve an infant's immune response to BCG (bacille Calmette-Guerin) vaccination, despite evidence that helminth infections suppress the Th1 immune response needed for TB immunity?",mechanism,Infectious Disease,The disconnect between experimental evidence of helminth-induced Th1 suppression and the failure of maternal deworming to improve infant BCG responses suggests unexplained immunological mechanisms at the maternal-fetal interface.,4
PMID:19553813,https://pubmed.ncbi.nlm.nih.gov/19553813/,Tremor.,The role of structural neurodegenerative changes in essential tremor remains an open question.,"What role do structural neurodegenerative changes, particularly cerebellar changes, play in the pathophysiology of essential tremor, and does essential tremor represent a neurodegenerative disease?",mechanism,Neurology,"Essential tremor is accompanied by functional deficits and subtle cerebellar changes, but whether these represent primary neurodegeneration or secondary phenomena remains unresolved, complicated by the lack of a definitive diagnostic test.",4
PMID:19553813,https://pubmed.ncbi.nlm.nih.gov/19553813/,Tremor.,According to recent epidemiological studies there may be a link of essential tremor with Parkinson's disease.,"Is there a true pathophysiological link between essential tremor and Parkinson's disease, or is the epidemiological association between the two conditions coincidental or due to diagnostic overlap?",epidemiology,Neurology,"Epidemiological studies suggest a link between essential tremor and Parkinson's disease, but many studies suffer from small cohorts, small effect sizes, or lack of a definitive test for essential tremor, leaving the association unconfirmed.",4
PMID:19553813,https://pubmed.ncbi.nlm.nih.gov/19553813/,Tremor.,New concepts of the central origin of tremors stimulate the search for new therapeutic targets for tremor suppression outside the basal ganglia and thalamus (e.g. cortex).,"Can therapeutic targets for tremor suppression be identified in cortical regions outside the traditional basal ganglia and thalamic targets, based on the emerging understanding that tremor is generated by a widespread dynamic network of cortical and subcortical oscillators?",treatment,Neurology,"The postulated widespread network model of tremor generation suggests novel cortical therapeutic targets, but these have not been validated in clinical studies for deep brain stimulation or other interventions.",4
PMID:38886139,https://pubmed.ncbi.nlm.nih.gov/38886139/,Thalamocortical architectures for flexible cognition and efficient learning.,"How it achieves such flexibility, without sacrificing learning efficiency, is an important open question.","How does the brain achieve flexible, context-appropriate behavior without sacrificing learning efficiency, and what role do thalamocortical architectures (connections between the thalamus and cerebral cortex) play in coordinating this balance?",mechanism,Neuroscience,"While evidence suggests thalamocortical architectures facilitate flexibility and efficiency by coordinating distributed computations, the precise mechanisms by which the brain balances these competing demands remain unclear.",5
PMID:38797149,https://pubmed.ncbi.nlm.nih.gov/38797149/,Nonlinear dynamics in phosphoinositide metabolism.,The orchestration of signaling complexity by this seemingly simple metabolic pathway remains an open question.,"How does the phosphoinositide metabolic pathway (a lipid signaling network involving phosphorylated derivatives of phosphatidylinositol) orchestrate the complexity of cellular signaling, including membrane dynamics, signal transduction, and cellular physiology?",mechanism,Cell Biology,"Despite advances in understanding nonlinear dynamics including feedback loops and oscillatory behaviors in phosphoinositide metabolism, mapping the complete molecular circuits responsible for signaling complexity presents both conceptual and experimental challenges.",5
PMID:38797149,https://pubmed.ncbi.nlm.nih.gov/38797149/,Nonlinear dynamics in phosphoinositide metabolism.,Mapping these circuits presents both conceptual and experimental challenges.,"What are the complete molecular circuit architectures, including feedback loops and feedforward loops, that give rise to distinct dynamical behaviors (excitable states, oscillations, mixed-mode oscillations) in phosphoinositide metabolism?",mechanism,Cell Biology,"While various network motifs have been identified in phosphoinositide metabolism, comprehensively mapping the molecular circuits and understanding how they produce specific dynamical regimes remains a major experimental challenge.",5
PMID:8669322,https://pubmed.ncbi.nlm.nih.gov/8669322/,[Hysterical psychoses revisited].,"The author concludes leaving this concept as an open question, suggesting that this could be a pathway for further research.","Does hysterical psychosis (a psychotic clinical presentation with sudden onset, dramatic symptoms, and full recovery, as defined by Hollender and Hirsch in 1964) represent a distinct psychopathological entity resulting from a single process, or is it a heterogeneous collection of conditions?",diagnosis,Psychiatry,"Despite case reports and epidemiological research, the concept of hysterical psychosis as a unitary diagnostic entity remains unproven, with insufficient evidence to confirm or refute whether it results from a single pathological process.",3
PMID:31525143,https://pubmed.ncbi.nlm.nih.gov/31525143/,The Visual Cortex in Context.,It remains an open question whether the primary visual cortex of higher mammals displays the same degree of sensorimotor integration in the early visual system.,"Does the primary visual cortex (V1) of higher mammals, including humans, exhibit the same degree of sensorimotor integration and interconnectivity with cortical and subcortical brain areas as observed in the mouse primary visual cortex?",mechanism,Neuroscience,"Mouse V1 studies reveal extensive sensorimotor integration challenging simple feedforward models, but whether this degree of integration is conserved in higher mammals with more specialized visual systems remains unknown.",4
PMID:33144692,https://pubmed.ncbi.nlm.nih.gov/33144692/,Genomic control of metastasis.,How metastatic phenotypes arise at the genomic level has remained a major open question in cancer biology.,"How do metastatic phenotypes arise at the genomic level in cancer, given that no metastasis-exclusive driver mutations have been identified and genetically activated oncogenic pathways appear to acquire metastatic traits through epigenetic mechanisms?",mechanism,Oncology,"Comparative genetic studies reveal no metastasis-specific driver mutations; instead, existing oncogenic drivers appear to co-opt physiological programs through epigenetic mechanisms, but the specific molecular triggers and control points remain poorly understood.",5
PMID:33144692,https://pubmed.ncbi.nlm.nih.gov/33144692/,Genomic control of metastasis.,What triggers their activation in support of metastasis [oncogenic drivers interacting with physiological programmes].,"What molecular triggers cause genetically activated oncogenic pathways to co-opt stem cell, developmental, and regenerative programs to promote cancer metastasis, and at what stage of tumor progression do these epigenetic switches occur?",mechanism,Oncology,"While increasing evidence reveals that oncogenic drivers interact with physiological programs via epigenetic mechanisms, the specific triggers that activate these interactions to promote metastatic dissemination remain largely unknown.",5
PMID:33144692,https://pubmed.ncbi.nlm.nih.gov/33144692/,Genomic control of metastasis.,Detailed insight into the mechanisms that control metastasis is likely to reveal novel opportunities for intervention at different stages of metastatic progression.,Can therapeutic interventions be developed to target specific stages of metastatic progression by disrupting the epigenetic mechanisms through which oncogenic drivers co-opt physiological programs for metastasis?,treatment,Oncology,"Despite being the leading cause of cancer mortality, metastasis lacks targeted therapies because the specific mechanisms controlling each stage of metastatic progression have not been sufficiently characterized.",5
PMID:30144746,https://pubmed.ncbi.nlm.nih.gov/30144746/,Sleep-wake control and the thalamus.,"How these thalamo-cortical network mechanisms contribute to other executive functions such as memory consolidation and cognition, remains an open question.","How do thalamocortical network mechanisms involved in sleep-wake state control contribute to executive functions such as memory consolidation and cognition, and what implications does this have for neuropsychiatric diseases?",mechanism,Neurology,"While the thalamus has established roles in sleep-wake control, how these thalamocortical mechanisms intersect with higher cognitive functions like memory consolidation remains unclear, with direct implications for understanding neuropsychiatric disorders.",4
PMID:30144746,https://pubmed.ncbi.nlm.nih.gov/30144746/,Sleep-wake control and the thalamus.,The mechanisms of sleep-wake control remain unclear.,"What are the precise mechanisms by which distributed networks of neuronal and non-neuronal cells across the brain control sleep-wake state transitions, beyond the originally discovered hypothalamic sleep-wake centers?",mechanism,Neurology,"Current understanding has expanded from hypothalamic sleep centers to brain-wide networks involving non-neuronal cells, but the precise mechanisms coordinating these distributed networks for sleep-wake control are still poorly understood.",4
PMID:33706234,https://pubmed.ncbi.nlm.nih.gov/33706234/,Sending out molecules from the TGN.,The major open question is how soluble proteins that are not associated with the membrane are packed into TGN derived transport carriers to facilitate their transport to the plasma membrane.,"How are soluble secreted proteins (proteins not associated with the membrane) sorted and packed into transport carriers derived from the trans-Golgi network (TGN) for delivery to the plasma membrane, given that they lack the membrane anchors used by transmembrane proteins for sorting?",mechanism,Cell Biology,"While sorting mechanisms for transmembrane proteins at the TGN are well described, the mechanisms for sorting soluble secreted proteins -- which cannot directly interact with membrane-based sorting machinery -- remain enigmatic despite recent discoveries of novel protein and lipid machinery.",5
PMID:33706234,https://pubmed.ncbi.nlm.nih.gov/33706234/,Sending out molecules from the TGN.,"Missecretion of these factors can cause diseases such as neurological disorders, autoimmune disease, or cancer.","How does defective sorting and secretion of soluble proteins from the trans-Golgi network (TGN) contribute to the pathogenesis of neurological disorders, autoimmune diseases, and cancer?",mechanism,Cell Biology,"While missecretion of signaling factors and extracellular matrix proteins from the TGN is known to cause disease, the specific pathological pathways linking TGN sorting defects to neurological, autoimmune, and oncological diseases are poorly characterized.",4
PMID:39141935,https://pubmed.ncbi.nlm.nih.gov/39141935/,Cerebral glucose metabolism in Alzheimer's disease.,"Preserved glucose metabolism sometimes appear as a compensation, but it was frequently detrimental and the nature of such a preservation of glucose metabolism remains an open question.","What is the nature of preserved or increased cerebral glucose metabolism observed on FDG-PET (18F-fluoro-deoxy-glucose positron emission tomography) in some Alzheimer's disease patients -- is it a compensatory mechanism or a detrimental process, and what drives this paradoxical metabolic preservation?",mechanism,Neurology,"Intriguing observations of increased glucose metabolism related to brain amyloid and tau deposition in Alzheimer's disease defy the expected pattern of hypometabolism, and whether this represents compensation or pathology is unresolved.",4
PMID:39141935,https://pubmed.ncbi.nlm.nih.gov/39141935/,Cerebral glucose metabolism in Alzheimer's disease.,The paradoxical variability of the hippocampal metabolism [in Alzheimer's disease].,"Why does hippocampal glucose metabolism on FDG-PET show paradoxical variability in Alzheimer's disease patients, with some showing hypometabolism and others showing preserved or increased metabolism, and what does this variability signify pathophysiologically?",mechanism,Neurology,"Despite the hippocampus being a primary site of Alzheimer's pathology, FDG-PET studies show inconsistent hippocampal metabolic patterns across patients, and the biological basis for this variability remains unexplained.",4
PMID:39141935,https://pubmed.ncbi.nlm.nih.gov/39141935/,Cerebral glucose metabolism in Alzheimer's disease.,Automated data analysis techniques provided variable accuracy according to the reported indices and machine learning methods showed variable reliability of results.,How can automated data analysis and machine learning methods for FDG-PET imaging in Alzheimer's disease be improved to achieve consistent accuracy and reliability for clinical diagnosis?,methodology,Neurology,"Current automated and machine learning approaches for analyzing FDG-PET data in Alzheimer's disease yield variable accuracy and reliability depending on the indices and methods used, limiting clinical applicability.",3
PMID:39141935,https://pubmed.ncbi.nlm.nih.gov/39141935/,Cerebral glucose metabolism in Alzheimer's disease.,"Limbic metabolic involvement was frequently related to non-AD biomarkers profile and clinical stability, and it was reported in non-AD pathologies, such as the limbic predominant age-related encephalopathy (LATE).","How can FDG-PET imaging differentiate between Alzheimer's disease and limbic-predominant age-related TDP-43 encephalopathy (LATE), given that limbic metabolic involvement on FDG-PET is seen in both conditions but may have different biomarker profiles?",diagnosis,Neurology,"FDG-PET abnormalities observed in the absence of classical Alzheimer's proteinopathies, as seen in LATE, create diagnostic confusion and the differential diagnostic criteria using metabolic imaging have not been established.",4
PMID:8321926,https://pubmed.ncbi.nlm.nih.gov/8321926/,Paraneoplastic glomerulopathies.,Whether all patients over the age of 50 with NS caused by MGN should be subjected to especially rigorous cancer surveillance is still an open question.,"Should all patients over age 50 who present with nephrotic syndrome (NS) caused by membranous glomerulonephritis (MGN, characterized by immune complex deposition in glomerular capillary walls) undergo rigorous cancer screening, given the association between malignancy and paraneoplastic glomerular disease?",diagnosis,Nephrology,"While paraneoplastic glomerulopathy (especially MGN) is associated with various malignancies, the cost-effectiveness and clinical benefit of intensive cancer surveillance in all older MGN patients with nephrotic syndrome remains debated.",3
PMID:37768647,https://pubmed.ncbi.nlm.nih.gov/37768647/,Human Leukocyte Antigen Signatures as Pathophysiological Discriminants of Microscopic Colitis Subtypes.,"Whether these represent a clinical continuum or distinct entities is, however, an open question.","Are collagenous colitis (CC) and lymphocytic colitis (LC), the two subtypes of microscopic colitis (a chronic inflammatory bowel disease causing watery diarrhea), distinct pathophysiological entities or points on a clinical continuum?",mechanism,Gastroenterology,"GWAS meta-analysis found strong HLA association with collagenous colitis but not lymphocytic colitis, suggesting distinct pathophysiology, but this challenges existing umbrella classifications and requires re-evaluation of diagnostic categories.",4
PMID:37768647,https://pubmed.ncbi.nlm.nih.gov/37768647/,Human Leukocyte Antigen Signatures as Pathophysiological Discriminants of Microscopic Colitis Subtypes.,"This challenges existing classifications, eventually calling for a re-evaluation of the utility of MC umbrella definitions.","Should the current classification of microscopic colitis as a single disease entity with two subtypes be revised, given evidence that collagenous colitis and lymphocytic colitis have distinct HLA (human leukocyte antigen) genetic signatures and potentially different pathophysiological mechanisms?",diagnosis,Gastroenterology,"Genetic evidence showing an HLA predisposing role only in collagenous colitis but not lymphocytic colitis challenges the umbrella classification of microscopic colitis, but consensus on reclassification has not been reached.",3
PMID:32650427,https://pubmed.ncbi.nlm.nih.gov/32650427/,Dysautonomia in Alzheimer's Disease.,We consider the correlation between dysautonomia and Alzheimer's disease to be an open question that needs further study.,"Is autonomic nervous system dysfunction (dysautonomia) in Alzheimer's disease directly caused by Alzheimer's pathology (amyloid plaques and neurofibrillary tangles), or is it primarily attributable to comorbidities, medication side effects, or co-existing brain pathology?",mechanism,Neurology,"There is an important gap between histopathologic studies (which do not address dysautonomia manifestations) and clinical studies (which lack histopathologic confirmation), making it impossible to establish a direct causal link between AD pathology and autonomic dysfunction.",4
PMID:32650427,https://pubmed.ncbi.nlm.nih.gov/32650427/,Dysautonomia in Alzheimer's Disease.,Brain co-pathology is emerging as an important confounding factor.,"To what extent does brain co-pathology (such as Lewy body disease, vascular pathology, or TDP-43 proteinopathy co-occurring with Alzheimer's pathology) confound the observed association between Alzheimer's disease and autonomic nervous system dysfunction?",mechanism,Neurology,"Brain co-pathology is increasingly recognized in Alzheimer's disease patients but has not been adequately controlled for in studies examining dysautonomia, making it unclear whether autonomic dysfunction is attributable to AD pathology or co-existing pathologies.",4
PMID:30291906,https://pubmed.ncbi.nlm.nih.gov/30291906/,Endothelins in inflammatory neurological diseases.,It remains an open question whether the 21 amino acid peptide is a mediator/modulator rather than a biomarker of the progression of neurodegeneration.,"Is endothelin-1 (ET-1, a 21-amino-acid vasoactive peptide) an active mediator or modulator of neuroinflammation and neurodegeneration, or merely a biomarker reflecting disease progression in inflammatory neurological diseases such as Alzheimer's disease and central nervous system infections?",mechanism,Neurology,"While endothelin-1 has been implicated in neuroinflammatory processes and blood-brain barrier disruption, the paucity of clinical trials with endothelin-1 antagonists in neuroinflammatory diseases leaves its causal role versus biomarker status unresolved.",4
PMID:30291906,https://pubmed.ncbi.nlm.nih.gov/30291906/,Endothelins in inflammatory neurological diseases.,Because of the paucity of clinical trials with endothelin-1 antagonists in several infectious and non-infectious neuroinflammatory diseases.,"Would endothelin-1 receptor antagonists (drugs blocking ET-A and/or ET-B receptors) be therapeutically effective in treating infectious and non-infectious neuroinflammatory diseases, including CNS infections and neurodegenerative disorders like Alzheimer's disease?",treatment,Neurology,"Despite evidence that endothelin-1 contributes to neuroinflammation and blood-brain barrier disruption, very few clinical trials have tested endothelin antagonists in neurological diseases, leaving their therapeutic potential unknown.",4
PMID:33330129,https://pubmed.ncbi.nlm.nih.gov/33330129/,The Microbiota of the Human Mammary Ecosystem.,The significance of human milk microbes in infant gut colonization remains an open question.,"What is the significance of the human milk microbiome (including bacteria such as Staphylococcus, Streptococcus, Lactobacillus, and Bifidobacterium) in establishing and shaping the infant gut microbiota colonization?",mechanism,Pediatrics,"While milk microbes are among the first colonizers of the infant gut, clinical studies are confounded by the profound impact of non-microbial human milk components on intestinal microecology, making it impossible to isolate the specific contribution of milk microbes.",4
PMID:33330129,https://pubmed.ncbi.nlm.nih.gov/33330129/,The Microbiota of the Human Mammary Ecosystem.,The factors driving differences in the composition of the human milk microbiome remain poorly known.,"What factors drive differences in the composition of the human milk microbiome among individual women, and how do these factors (maternal diet, genetics, environment, mode of delivery, etc.) influence the microbial communities present in breast milk?",mechanism,Obstetrics & Gynecology,"Despite recognition that the human milk microbiome is dynamic and complex, the specific maternal, environmental, and host factors that determine its composition remain poorly characterized.",3
PMID:33330129,https://pubmed.ncbi.nlm.nih.gov/33330129/,The Microbiota of the Human Mammary Ecosystem.,The origin of the human milk microbiome [is an open issue].,"What is the origin of the human milk microbiome -- do the bacteria found in breast milk originate from the maternal gut via an entero-mammary pathway, from the infant's oral cavity via retrograde flow, from the skin, or from a combination of these sources?",mechanism,Obstetrics & Gynecology,"Multiple hypotheses exist for how bacteria reach breast milk, including an entero-mammary pathway and retrograde infant oral inoculation, but no definitive evidence has confirmed the primary route of microbial colonization of the mammary gland.",4
PMID:33330129,https://pubmed.ncbi.nlm.nih.gov/33330129/,The Microbiota of the Human Mammary Ecosystem.,"Breast tissue in lactating and non-lactating women may also contain a microbiota, with implications in the pathogenesis of breast cancer and in some of the adverse outcomes associated with breast implants.",Does the breast tissue microbiota in non-lactating women play a role in the pathogenesis of breast cancer and in adverse outcomes (such as capsular contracture) associated with breast implants?,mechanism,Oncology,"While a breast tissue microbiota has been detected in both lactating and non-lactating women, its potential causal role in breast cancer development and breast implant complications has not been established.",4
PMID:34973131,https://pubmed.ncbi.nlm.nih.gov/34973131/,Exosomal targeting and its potential clinical application.,The natural targeting of exosomes is still an open question in disease targeting and efficient gene/chemotherapy combined therapy.,"Can the natural targeting properties of exosomes (cell-derived extracellular vesicles 30-150nm in diameter) be harnessed for effective disease-targeted drug delivery, particularly for combined gene therapy and chemotherapy approaches?",treatment,Pharmacology,"While exosomes show promise as low-immunogenicity drug delivery vehicles, their natural targeting alone is insufficient for precise delivery to specific sites, and engineering approaches to optimize targeting for clinical use are still under development.",4
PMID:34973131,https://pubmed.ncbi.nlm.nih.gov/34973131/,Exosomal targeting and its potential clinical application.,The use of the natural targeting of exosomes alone is incapable of accurately transporting the goods loaded to specific sites.,"How can exosomes be engineered and modified to achieve precise targeting of therapeutic cargo (nucleic acids, peptides, lipids, or small molecule drugs) to specific cell types or tissues, particularly tumor tissues, for effective clinical drug delivery?",methodology,Pharmacology,"Engineering strategies to enhance exosomal targeting beyond natural tropism are being developed, but reliable, clinically validated methods for precise tissue-specific delivery have not been established.",4
PMID:17016130,https://pubmed.ncbi.nlm.nih.gov/17016130/,Esophageal disease in scleroderma.,Whether reflux contributes to the pulmonary disease is an open question.,Does gastroesophageal reflux caused by esophageal dysmotility in progressive systemic sclerosis (scleroderma) contribute to the development or worsening of interstitial lung disease and other pulmonary complications in these patients?,mechanism,Rheumatology,"While esophageal disease correlates with pulmonary involvement in systemic sclerosis, a causal relationship between reflux and lung disease (possibly through chronic aspiration) has not been established.",3
PMID:17016130,https://pubmed.ncbi.nlm.nih.gov/17016130/,Esophageal disease in scleroderma.,"Symptoms correlate poorly with evidence of esophagitis or abnormal 24-hour pH recordings. As a result, it is unclear which patients should receive acid-reducing or prokinetic medications and which medication to use.","Which patients with esophageal involvement in progressive systemic sclerosis (scleroderma) should receive acid-reducing therapy (such as proton pump inhibitors) or prokinetic medications, given that symptoms correlate poorly with objective measures of esophagitis and abnormal pH recordings?",treatment,Rheumatology,"The poor correlation between subjective symptoms and objective esophageal pathology in scleroderma makes it unclear how to select patients for acid-reducing or prokinetic therapy, and no evidence-based treatment selection criteria exist.",3
PMID:31648041,https://pubmed.ncbi.nlm.nih.gov/31648041/,Can we use NOACS in APS?,Whether DOACs can be used for secondary prophylaxis in APS is an open question.,"Can direct oral anticoagulants (DOACs, such as rivaroxaban, apixaban, or dabigatran) be safely and effectively used for secondary thromboprophylaxis in patients with antiphospholipid syndrome (APS, an autoimmune condition causing recurrent thrombosis)?",treatment,Rheumatology,"Data from the TRAPS trial showed DOACs should not be used in triple-positive APS or arterial thrombosis, but prospective trials are still needed for lower-risk APS patients (venous thromboembolism only, lupus anticoagulant negative).",3
PMID:31648041,https://pubmed.ncbi.nlm.nih.gov/31648041/,Can we use NOACS in APS?,Prospective trials addressing these low risk patients are needed in order to consider DOAC treatment in such patients.,Are direct oral anticoagulants (DOACs) safe and effective for secondary thromboprophylaxis in low-risk antiphospholipid syndrome patients -- specifically those with only venous (not arterial) thromboembolism and who are lupus anticoagulant (LAC) negative?,treatment,Rheumatology,"While meta-analyses and case series suggest low-risk APS patients may benefit from DOACs, no prospective randomized controlled trials have specifically studied this subpopulation to provide definitive evidence.",3
PMID:34555538,https://pubmed.ncbi.nlm.nih.gov/34555538/,Comparison of the clinical features in open and closed format intensive care units: A systematic review and meta-analysis.,The difference in clinical outcomes between closed and open designs of intensive care units (ICUs) is still an open question.,What is the definitive difference in clinical outcomes (particularly total mortality and hospital length of stay) between closed-format ICUs (where an intensivist leads all patient care decisions) and open-format ICUs (where the primary attending physician retains decision-making authority) in critically ill patients?,methodology,Critical Care,"While this meta-analysis found lower ICU mortality and ICU length of stay in closed ICUs, total mortality and hospital length of stay showed no significant difference, and the heterogeneity of study designs limits definitive conclusions about optimal ICU organizational structure.",3
